gt_feature_id,doc_id,source
Binary,fed_01,amrani_matrix
Decomposable,fed_01,amrani_matrix
Explicit,fed_01,amrani_matrix
External,fed_01,amrani_matrix
Formalism_Agnostic,fed_01,amrani_matrix
Incremental,fed_01,amrani_matrix
Manual_Trigger,fed_01,amrani_matrix
Persistence,fed_01,amrani_matrix
Reference,fed_01,amrani_matrix
Traceability,fed_01,amrani_matrix
X_Domain,fed_01,amrani_matrix
Binary,fed_02,amrani_matrix
EMOF,fed_02,amrani_matrix
Ecore,fed_02,amrani_matrix
Formalism_Agnostic,fed_02,amrani_matrix
Implicit,fed_02,amrani_matrix
Incremental,fed_02,amrani_matrix
Manual_Trigger,fed_02,amrani_matrix
Meta_model,fed_02,amrani_matrix
Model,fed_02,amrani_matrix
OnLinks,fed_02,amrani_matrix
Reactive_Trigger,fed_02,amrani_matrix
X_Domain,fed_02,amrani_matrix
ArtefactCodesign,fed_03,amrani_matrix
Content,fed_03,amrani_matrix
Decomposable,fed_03,amrani_matrix
EMOF,fed_03,amrani_matrix
Ecore,fed_03,amrani_matrix
Explicit,fed_03,amrani_matrix
External,fed_03,amrani_matrix
Formalism_Agnostic,fed_03,amrani_matrix
Incremental,fed_03,amrani_matrix
Meta_model,fed_03,amrani_matrix
Model,fed_03,amrani_matrix
N_ary,fed_03,amrani_matrix
X_Domain,fed_03,amrani_matrix
X_Operation,fed_03,amrani_matrix
X_Type,fed_03,amrani_matrix
Content,fed_04,amrani_matrix
Decomposable,fed_04,amrani_matrix
External,fed_04,amrani_matrix
Formalism_Agnostic,fed_04,amrani_matrix
Implicit,fed_04,amrani_matrix
Incremental,fed_04,amrani_matrix
Manual_Specification,fed_04,amrani_matrix
Meta_model,fed_04,amrani_matrix
ModelComposition,fed_04,amrani_matrix
N_ary,fed_04,amrani_matrix
Persistence,fed_04,amrani_matrix
Reactive_Trigger,fed_04,amrani_matrix
X_Domain,fed_04,amrani_matrix
X_Type,fed_04,amrani_matrix
Binary,fed_05,amrani_matrix
Content,fed_05,amrani_matrix
Explicit,fed_05,amrani_matrix
External,fed_05,amrani_matrix
Formalism_Agnostic,fed_05,amrani_matrix
Incremental,fed_05,amrani_matrix
Manual_Specification,fed_05,amrani_matrix
Model,fed_05,amrani_matrix
ModelComposition,fed_05,amrani_matrix
ModelConsistencyChecking_Repair,fed_05,amrani_matrix
Persistence,fed_05,amrani_matrix
Reactive_Trigger,fed_05,amrani_matrix
X_Domain,fed_05,amrani_matrix
Content,fed_06,amrani_matrix
CrossDomainAnalysis,fed_06,amrani_matrix
Decomposable,fed_06,amrani_matrix
Explicit,fed_06,amrani_matrix
Formalism_Agnostic,fed_06,amrani_matrix
InFederation,fed_06,amrani_matrix
Incremental,fed_06,amrani_matrix
Manual_Trigger,fed_06,amrani_matrix
Meta_model,fed_06,amrani_matrix
ModelComposition,fed_06,amrani_matrix
ModelConsistencyChecking_Repair,fed_06,amrani_matrix
N_ary,fed_06,amrani_matrix
OnLinks,fed_06,amrani_matrix
Persistence,fed_06,amrani_matrix
Reactive_Trigger,fed_06,amrani_matrix
ReverseEngineering,fed_06,amrani_matrix
Serialisation_Agnostic,fed_06,amrani_matrix
Traceability,fed_06,amrani_matrix
UnifiedTransformationManagement,fed_06,amrani_matrix
X_Domain,fed_06,amrani_matrix
Content,fed_07,amrani_matrix
CrossDomainAnalysis,fed_07,amrani_matrix
Decomposable,fed_07,amrani_matrix
Explicit,fed_07,amrani_matrix
Formalism_Agnostic,fed_07,amrani_matrix
InFederation,fed_07,amrani_matrix
Incremental,fed_07,amrani_matrix
Manual_Trigger,fed_07,amrani_matrix
Meta_model,fed_07,amrani_matrix
ModelComposition,fed_07,amrani_matrix
ModelConsistencyChecking_Repair,fed_07,amrani_matrix
N_ary,fed_07,amrani_matrix
OnLinks,fed_07,amrani_matrix
Persistence,fed_07,amrani_matrix
Reactive_Trigger,fed_07,amrani_matrix
Serialisation_Agnostic,fed_07,amrani_matrix
Traceability,fed_07,amrani_matrix
UnifiedTransformationManagement,fed_07,amrani_matrix
X_Domain,fed_07,amrani_matrix
Content,fed_08,amrani_matrix
CrossDomainAnalysis,fed_08,amrani_matrix
Decomposable,fed_08,amrani_matrix
Explicit,fed_08,amrani_matrix
Formalism_Agnostic,fed_08,amrani_matrix
InFederation,fed_08,amrani_matrix
Incremental,fed_08,amrani_matrix
Manual_Trigger,fed_08,amrani_matrix
Meta_model,fed_08,amrani_matrix
ModelComposition,fed_08,amrani_matrix
ModelConsistencyChecking_Repair,fed_08,amrani_matrix
N_ary,fed_08,amrani_matrix
OnLinks,fed_08,amrani_matrix
Persistence,fed_08,amrani_matrix
Reactive_Trigger,fed_08,amrani_matrix
ReverseEngineering,fed_08,amrani_matrix
Serialisation_Agnostic,fed_08,amrani_matrix
Traceability,fed_08,amrani_matrix
UnifiedTransformationManagement,fed_08,amrani_matrix
X_Domain,fed_08,amrani_matrix
Content,fed_09,amrani_matrix
Decomposable,fed_09,amrani_matrix
EMOF,fed_09,amrani_matrix
Ecore,fed_09,amrani_matrix
Explicit,fed_09,amrani_matrix
Formalism_Agnostic,fed_09,amrani_matrix
InFederation,fed_09,amrani_matrix
Incremental,fed_09,amrani_matrix
Links_Typology,fed_09,amrani_matrix
Manual_Trigger,fed_09,amrani_matrix
Meta_model,fed_09,amrani_matrix
N_ary,fed_09,amrani_matrix
OnLinks,fed_09,amrani_matrix
Persistence,fed_09,amrani_matrix
Reactive_Trigger,fed_09,amrani_matrix
Serialisation_Agnostic,fed_09,amrani_matrix
X_Domain,fed_09,amrani_matrix
Decomposable,fed_10,amrani_matrix
Formalism_Agnostic,fed_10,amrani_matrix
Manual_Trigger,fed_10,amrani_matrix
Model,fed_10,amrani_matrix
ModelConsistencyChecking_Repair,fed_10,amrani_matrix
N_ary,fed_10,amrani_matrix
OnLinks,fed_10,amrani_matrix
X_Domain,fed_10,amrani_matrix
X_Operation,fed_10,amrani_matrix
CrossDomainAnalysis,fed_11,amrani_matrix
Formalism_Agnostic,fed_11,amrani_matrix
Model,fed_11,amrani_matrix
N_ary,fed_11,amrani_matrix
Reference,fed_11,amrani_matrix
X_Domain,fed_11,amrani_matrix
Binary,fed_12,amrani_matrix
CrossDomainAnalysis,fed_12,amrani_matrix
Decomposable,fed_12,amrani_matrix
Explicit,fed_12,amrani_matrix
Formalism_Agnostic,fed_12,amrani_matrix
Incremental,fed_12,amrani_matrix
Manual_Trigger,fed_12,amrani_matrix
Meta_model,fed_12,amrani_matrix
ModelComposition,fed_12,amrani_matrix
OnLinks,fed_12,amrani_matrix
Persistence,fed_12,amrani_matrix
Reactive_Trigger,fed_12,amrani_matrix
Reference,fed_12,amrani_matrix
UnifiedTransformationManagement,fed_12,amrani_matrix
X_Domain,fed_12,amrani_matrix
Binary,fed_13,amrani_matrix
Decomposable,fed_13,amrani_matrix
Formalism_Agnostic,fed_13,amrani_matrix
