gt_feature_id,doc_id,source
Composite,rep_01,macedo_reconstructed
Concrete,rep_01,macedo_reconstructed
Consistency_Improving,rep_01,macedo_reconstructed
Delta_based,rep_01,macedo_reconstructed
Fixed,rep_01,macedo_reconstructed
Goal,rep_01,macedo_reconstructed
History,rep_01,macedo_reconstructed
Intra_model,rep_01,macedo_reconstructed
Logical,rep_01,macedo_reconstructed
Meta_model_Independent,rep_01,macedo_reconstructed
Operation_Costs,rep_01,macedo_reconstructed
Operation_based,rep_01,macedo_reconstructed
Pre_defined,rep_01,macedo_reconstructed
Pre_state,rep_01,macedo_reconstructed
Repair_Plan,rep_01,macedo_reconstructed
Search_based,rep_01,macedo_reconstructed
Stability,rep_01,macedo_reconstructed
Totality,rep_01,macedo_reconstructed
User,rep_01,macedo_reconstructed
Composite,rep_02,macedo_reconstructed
Concrete,rep_02,macedo_reconstructed
Consistency_Improving,rep_02,macedo_reconstructed
Delta_based,rep_02,macedo_reconstructed
Fixed,rep_02,macedo_reconstructed
Intra_model,rep_02,macedo_reconstructed
Logical,rep_02,macedo_reconstructed
Meta_model_Independent,rep_02,macedo_reconstructed
Object_oriented,rep_02,macedo_reconstructed
Opaque,rep_02,macedo_reconstructed
Operation_based,rep_02,macedo_reconstructed
Other,rep_02,macedo_reconstructed
Repair_Plan,rep_02,macedo_reconstructed
Stability,rep_02,macedo_reconstructed
Syntactic,rep_02,macedo_reconstructed
Totality,rep_02,macedo_reconstructed
User,rep_02,macedo_reconstructed
Violations,rep_02,macedo_reconstructed
Boolean,rep_03,macedo_reconstructed
Checkonly,rep_03,macedo_reconstructed
Composite,rep_03,macedo_reconstructed
Concrete,rep_03,macedo_reconstructed
Consistency_Improving,rep_03,macedo_reconstructed
Delta_based,rep_03,macedo_reconstructed
EMF,rep_03,macedo_reconstructed
Edit_Operations,rep_03,macedo_reconstructed
Fixed,rep_03,macedo_reconstructed
Intra_model,rep_03,macedo_reconstructed
Logical,rep_03,macedo_reconstructed
MDA,rep_03,macedo_reconstructed
Meta_model_Independent,rep_03,macedo_reconstructed
Object_oriented,rep_03,macedo_reconstructed
Opaque,rep_03,macedo_reconstructed
Operation_based,rep_03,macedo_reconstructed
Pre_state,rep_03,macedo_reconstructed
Repair_Action,rep_03,macedo_reconstructed
Repair_Hints,rep_03,macedo_reconstructed
Single_Repair,rep_03,macedo_reconstructed
Stability,rep_03,macedo_reconstructed
User,rep_03,macedo_reconstructed
Composite,rep_04,macedo_reconstructed
Concrete,rep_04,macedo_reconstructed
