corpus,doc_id,feature_name
federation,fed_01,Binary
federation,fed_01,Decomposable
federation,fed_01,Explicit
federation,fed_01,External
federation,fed_01,Formalism_Agnostic
federation,fed_01,Incremental
federation,fed_01,Manual_Trigger
federation,fed_01,Persistence
federation,fed_01,Reference
federation,fed_01,Traceability
federation,fed_01,X_Domain
federation,fed_02,Binary
federation,fed_02,EMOF
federation,fed_02,Ecore
federation,fed_02,Formalism_Agnostic
federation,fed_02,Implicit
federation,fed_02,Incremental
federation,fed_02,Manual_Trigger
federation,fed_02,Meta_model
federation,fed_02,Model
federation,fed_02,OnLinks
federation,fed_02,Reactive_Trigger
federation,fed_02,X_Domain
federation,fed_03,ArtefactCodesign
federation,fed_03,Content
federation,fed_03,Decomposable
federation,fed_03,EMOF
federation,fed_03,Ecore
federation,fed_03,Explicit
federation,fed_03,External
federation,fed_03,Formalism_Agnostic
federation,fed_03,Incremental
federation,fed_03,Meta_model
federation,fed_03,Model
federation,fed_03,N_ary
federation,fed_03,X_Domain
federation,fed_03,X_Operation
federation,fed_03,X_Type
federation,fed_04,Content
federation,fed_04,Decomposable
federation,fed_04,External
federation,fed_04,Formalism_Agnostic
federation,fed_04,Implicit
federation,fed_04,Incremental
federation,fed_04,Manual_Specification
federation,fed_04,Meta_model
federation,fed_04,ModelComposition
federation,fed_04,N_ary
federation,fed_04,Persistence
federation,fed_04,Reactive_Trigger
federation,fed_04,X_Domain
federation,fed_04,X_Type
federation,fed_05,Binary
federation,fed_05,Content
federation,fed_05,Explicit
federation,fed_05,External
federation,fed_05,Formalism_Agnostic
federation,fed_05,Incremental
federation,fed_05,Manual_Specification
federation,fed_05,Model
federation,fed_05,ModelComposition
federation,fed_05,ModelConsistencyChecking_Repair
federation,fed_05,Persistence
federation,fed_05,Reactive_Trigger
federation,fed_05,X_Domain
federation,fed_06,Content
federation,fed_06,CrossDomainAnalysis
federation,fed_06,Decomposable
federation,fed_06,Explicit
federation,fed_06,Formalism_Agnostic
federation,fed_06,InFederation
federation,fed_06,Incremental
federation,fed_06,Manual_Trigger
federation,fed_06,Meta_model
federation,fed_06,ModelComposition
federation,fed_06,ModelConsistencyChecking_Repair
federation,fed_06,N_ary
federation,fed_06,OnLinks
federation,fed_06,Persistence
federation,fed_06,Reactive_Trigger
federation,fed_06,ReverseEngineering
federation,fed_06,Serialisation_Agnostic
federation,fed_06,Traceability
federation,fed_06,UnifiedTransformationManagement
federation,fed_06,X_Domain
federation,fed_07,Content
federation,fed_07,CrossDomainAnalysis
federation,fed_07,Decomposable
federation,fed_07,Explicit
federation,fed_07,Formalism_Agnostic
federation,fed_07,InFederation
federation,fed_07,Incremental
federation,fed_07,Manual_Trigger
federation,fed_07,Meta_model
federation,fed_07,ModelComposition
federation,fed_07,ModelConsistencyChecking_Repair
federation,fed_07,N_ary
federation,fed_07,OnLinks
