doc_id;current_filename;bibtex_key;title;authors;year;venue;doi_url;obtained
rep_01;Article_repair_01.pdf;9;Resolving model inconsistencies using automated regression planning;Jorge Pinna Puissant, Ragnhild Van Der Straeten, Tom Mens;2015;;https://doi.org/10.1007/s10270-013-0317-9;true
rep_02;Article_repair_02.pdf;10;Computing repair trees for resolving inconsistencies in design models;Alexander Reder, Alexander Egyed;2012;;https://doi.org/10.1145/2351676.2351707;true
rep_03;Article_repair_04.pdf;58;Supporting automatic model inconsistency fixing;Yingfei Xiong, Zhenjiang Hu, Haiyan Zhao, Hui Song, Masato Takeichi, Hong Mei;2009;;https://doi.org/10.1145/1595696.1595757;true
rep_04;Article_repair_05.pdf;14;Detecting and Repairing Inconsistencies Across Heterogeneous Models;Dimitrios S. Kolovos, Richard F. Paige, Fiona A. C. Polack;2008;;https://doi.org/10.1109/ICST.2008.23;true
rep_05;Article_repair_06.pdf;52;Improving Inconsistency Resolution with Side-Effect Evaluation and Costs;Jochen M. Küster and Ksenia Ryndina;2007;;https://doi.org/10.1007/978-3-540-75209-7_10;true
rep_06;Article_repair_07.pdf;45;Consistency Management with Repair Actions;Christian Nentwich, Wolfgang Emmerich, Anthony Finkelstein;2003;;https://doi.org/10.1109/ICSE.2003.1201223;true
rep_07;Article_repair_08.pdf;41;CARE – A Constraint-Based Approach for Re-Establishing Conformance-Relationships;Johannes Schoenboeck, Angelika Kusel, Juergen Etzlstorfer, Elisabeth Kapsammer, Wieland Schwinger, Manuel Wimmer, Martin Wischenbart;2014;;https://dl.acm.org/doi/10.5555/2667691.2667694;true
rep_08;Article_repair_09.pdf;42;Towards Automated Inconsistency Handling in Design Models;Marcos Aurélio Almeida da Silva, Alix Mougenot, Xavier Blanc, Reda Bendraou;2010;;https://doi.org/10.1007/978-3-642-13094-6_28;true
rep_09;Article_repair_10.pdf;13;Generating and Evaluating Choices for Fixing Inconsistencies in UML Design Models;Alexander Egyed, Emmanuel Letier, Anthony Finkelstein;2008;;https://doi.org/10.1109/ASE.2008.20;true
rep_10;Article_repair_11.pdf;77;Correctness of Incremental Model Synchronization with Triple Graph Grammars;Fernando Orejas and Elvira Pino;2014;;https://doi.org/10.1007/978-3-319-08789-4_6;true
